log10_n_cm3,log10_G_G0,ICII_ICO
6.689768916,4.567062378,1.00E+03
6.765707538,4.724749357,1.00E+03
6.85910476,4.876943141,1.00E+03
6.96877177,5.008133537,1.00E+03
,,
1.05030006,1.79340336,5.00E+03
1.18301524,1.64694512,5.00E+03
1.3109214,1.52788675,5.00E+03
1.43888659,1.44645823,5.00E+03
1.56692145,1.40944527,5.00E+03
1.69501437,1.40944527,5.00E+03
1.82315277,1.43843875,5.00E+03
1.95131729,1.48408808,5.00E+03
2.07951181,1.54886076,5.00E+03
2.20772085,1.62288669,5.00E+03
2.33593666,1.7012308,5.00E+03
2.46415828,1.78327621,5.00E+03
2.59239441,1.87457485,5.00E+03
2.72064022,1.97204232,5.00E+03
2.84892183,2.09233446,5.00E+03
2.97721893,2.22249672,5.00E+03
3.09971278,2.36487325,5.00E+03
3.21638761,2.50940888,5.00E+03
3.33306776,2.65733736,5.00E+03
3.44392042,2.80202378,5.00E+03
3.61312546,3.0285157,5.00E+03
3.72981519,3.18255132,5.00E+03
3.8464847,3.32369409,5.00E+03
3.96316166,3.46958686,5.00E+03
4.08565996,3.61480106,5.00E+03
4.21398221,3.76100227,5.00E+03
4.33648003,3.90590802,5.00E+03
4.45897514,4.04908651,5.00E+03
4.58148195,4.19972927,5.00E+03
4.69233142,4.34237998,5.00E+03
4.79735943,4.48563386,5.00E+03
4.90239808,4.63567345,5.00E+03
5.00745211,4.79551462,5.00E+03
5.11250614,4.95535579,5.00E+03
5.21172727,5.1085055,5.00E+03
5.30510795,5.2501572,5.00E+03
5.39849662,5.39689818,5.00E+03
5.48605262,5.5370958,5.00E+03
5.56778374,5.67571816,5.00E+03
5.64953159,5.82500378,5.00E+03
5.73128704,5.97913634,5.00E+03
5.81304858,6.13714645,5.00E+03
5.89480859,6.29418717,5.00E+03
5.9975172,6.44353742,5.00E+03
,,
1.01448245,3.08626964,1.00E+04
1.05821956,3.00657524,1.00E+04
1.17916309,2.90298006,1.00E+04
1.30124965,2.78571066,1.00E+04
1.42919355,2.69071071,1.00E+04
1.55719647,2.63334062,1.00E+04
1.68528552,2.63087309,1.00E+04
1.81342682,2.66171723,1.00E+04
1.94162618,2.72957433,1.00E+04
2.06986232,2.82087297,1.00E+04
2.19812845,2.93129498,1.00E+04
2.32643135,3.06515854,1.00E+04
2.44893178,3.21172988,1.00E+04
2.56560661,3.3562655,1.00E+04
2.676464,3.50396779,1.00E+04
2.77567862,3.65297068,1.00E+04
2.82821199,3.73694384,1.00E+04
2.95667594,3.97347431,1.00E+04
3.03260823,4.12712217,1.00E+04
3.10272723,4.28658636,1.00E+04
3.16702276,4.44537198,1.00E+04
3.22548312,4.59601474,1.00E+04
3.28393709,4.74258608,1.00E+04
3.34822624,4.89730027,1.00E+04
3.4125239,5.05744303,1.00E+04
3.47096723,5.19722866,1.00E+04
3.54107878,5.35194285,1.00E+04
3.62865436,5.50462133,1.00E+04
3.72787356,5.65654584,1.00E+04
3.83872824,5.802514,1.00E+04
3.96124221,5.9577217,1.00E+04
4.0894706,6.04408528,1.00E+04
4.21763997,6.09281902,1.00E+04
4.34581514,6.14525405,1.00E+04
4.47399514,6.2007735,1.00E+04
4.60223224,6.29268903,1.00E+04
4.71494927,6.38864856,1.00E+04
4.82962393,6.49533501,1.00E+04
,,
1.069839757,3.733242543,1.50E+04
1.197982993,3.765320446,1.50E+04
1.326154293,3.815287947,1.50E+04
1.454343977,3.876976221,1.50E+04
1.582586883,3.972593046,1.50E+04
1.710906234,4.116943607,1.50E+04
1.821762118,4.263684588,1.50E+04
1.880128539,4.354443461,1.50E+04
2.031892942,4.597880812,1.50E+04
2.125293585,4.752255717,1.50E+04
2.212867831,4.904085981,1.50E+04
2.300438086,5.053371604,1.50E+04
2.388005299,5.200718453,1.50E+04
2.463926688,5.347419043,1.50E+04
2.539856186,5.499289698,1.50E+04
2.621608597,5.651483483,1.50E+04
2.697539616,5.804323525,1.50E+04
2.767662169,5.966049616,1.50E+04
2.843602058,6.124544417,1.50E+04
2.919539667,6.281585137,1.50E+04
3.00134872,6.469888593,1.50E+04
,,
1.01957809,5.09747872,1.00E+05
1.07356972,5.18314831,1.00E+05
1.16545983,5.3025041,1.00E+05
1.25303579,5.45542493,1.00E+05
1.34641248,5.59453199,1.00E+05
1.43979716,5.73872833,1.00E+05
1.53901932,5.89253776,1.00E+05
1.6155846,6.03729957,1.00E+05
1.71411928,6.16525868,1.00E+05
1.80166843,6.30109405,1.00E+05
1.89795032,6.43875686,1.00E+05
