Pixel Number,ColumnDensity_Cp_cm2,Mass_Cp_Msun,e_Mass_Cp_Msun_upper,e_Mass_Cp_Msun_lower,med_NHI_NHICII,peak_NHI_NHICII,peak_NH2_NH2CII
1,1.2732374043080817e+18,5863.966849954375,1486.5843703888204,1486.5843703888195,3.857152044896918,3.596291910869256,0.4243899251304143
6,1.3933214729180677e+18,6417.0208170731585,1818.6936446246182,1818.6936446246218,3.4797214837767627,1.9832488472308456,0.20452839319750238
2,8.314483132402012e+17,3829.282213822938,1571.4844856069926,1571.4844856069935,4.3735276318689476,2.498575792450928,0.23015633881727537
0,6.456390807018034e+17,2973.527288359731,1335.6508322231766,1335.6508322231764,7.647509560030834,3.099137490623952,0.17506918955001072
5,2.2527691980666906e+17,1037.5255905429676,2843.321505738078,2843.3215057380794,11.741352101510111,3.5815144845467324,0.17787087927451947
3,1.0057615779831955e+18,4632.091809662386,1129.504474030029,1129.5044740300286,4.255197931974518,1.7627237303751973,0.15169536186831353
4,-743622204301436.0,-3.424794103722784,1094.2681517009155,1094.2681517009155,6.996596822638971,5.101343895909527,0.30058604989187
