Velocity_kms,Intensity_K
569.6760655715702,8.21151077747345
559.6760655715702,6.114753244959489
549.6760655715702,-7.928773337912141
539.6760655715702,-5.608111545083947
529.6760655715702,-9.474681023338148
519.6760655715702,11.930204201936446
509.67606557157023,-2.9123855992985552
499.67606557157023,-29.644795340133616
489.67606557157023,6.6116124162879935
479.67606557157023,-7.365165256767984
469.67606557157023,-14.788314672399922
459.67606557157023,-9.356917710182676
449.67606557157023,2.2305256565514906
439.67606557157023,-8.698455456596362
429.67606557157023,-5.880589442502448
419.67606557157023,-17.675876797339257
409.67606557157023,1.3291786611535106
399.67606557157023,-10.10978032938038
389.67606557157023,0.7196398066994254
379.67606557157023,-20.12871990469289
369.67606557157023,-12.81296263938225
359.67606557157023,-9.38216691614759
349.67606557157023,-17.727330197791943
339.67606557157023,-2.6868458919549187
329.67606557157023,-0.9799731195360457
319.67606557157023,-0.09670934190630519
309.67606557157023,-3.642147733528315
299.67606557157023,-3.0825250245690414
289.67606557157023,-9.780696506889482
279.67606557157023,12.832300844278327
269.67606557157023,21.73200329651603
259.67606557157023,34.28464974862762
249.67606557157023,36.0396133630638
239.67606557157023,62.91359297975244
229.67606557157023,93.30529488717849
219.67606557157023,119.3263918993905
209.67606557157023,142.7793187742533
199.67606557157023,158.2502973903351
189.67606557157023,153.77539254834963
179.67606557157023,130.35177636167163
169.67606557157023,105.48001097554811
159.67606557157023,80.79786704759242
149.67606557157023,60.582240701742705
139.67606557157023,69.27012486798323
129.67606557157023,46.049099436094245
119.67606557157023,50.01279315809692
109.67606557157023,45.354577478329574
99.67606557157023,52.29958345411068
89.67606557157023,48.85030426257824
79.67606557157023,41.28243412985808
69.67606557157023,30.724679539799677
59.676065571570234,28.617875137296995
49.676065571570234,30.996381223233257
39.676065571570234,26.61178197281231
29.676065571570234,-8.484097077888105
19.676065571570234,-11.398600361721979
9.676065571570234,-14.313103645555852
-0.32393442842976583,-18.990328741016757
-10.323934428429766,8.326397951022551
-20.323934428429766,1.3557151542690273
-30.323934428429766,4.5204018709327825
-40.323934428429766,27.71079544944407
-50.323934428429766,24.942245893656107
-60.323934428429766,34.95945718962445
-70.32393442842977,2.8240246131512396
-80.32393442842977,5.691504872648501
-90.32393442842977,4.396701931045383
-100.32393442842977,-6.232778613286448
-110.32393442842977,1.175951334101116
-120.32393442842977,-7.359036405873947
-130.32393442842977,3.3610868625037646
-140.32393442842977,5.422710136788005
-150.32393442842977,16.9799082347311
-160.32393442842977,6.607747132714268
-170.32393442842977,0.7355048092088357
-180.32393442842977,-16.237781548965554
-190.32393442842977,0.6530342572853157
-200.32393442842977,0.001401120349427617
