Pixel Number,Mom0,eMom0,Max,eMax,Mom1,eMom1,Mom2,eMom2,rms,Mass
0,10.760210137833553,0.1480588708666877,0.07195127764684102,0.014789344026189529,143.2540467754938,10.204325813635101,94.21911144452694,16.852210643993427,0.008335526242958366,5431.563307521138
1,21.2353507816778,0.3348115153649441,0.09856767953478301,0.03344374204447677,141.23750967059533,10.257076450985744,96.04587438277879,19.65067747212222,0.009445390720576204,10840.845321226569
2,13.716325910164958,0.28221941888589014,0.08894031505112741,0.028190408668811527,144.87552885523147,10.44757873805399,89.29201642153814,17.30672452260035,0.009628300484971588,7010.336156402436
3,16.38422360045631,0.3105803014553278,0.07748338611108786,0.03102332807952006,165.1490689978504,10.490965501820554,111.786867735481,93.65361541028827,0.006943747185115726,8529.280456275468
4,,,,,,,,,0.006777876240680019,
5,,,,,,,,,0.016797198631911564,
6,23.32499288993743,0.27463736624869983,0.20300340969902475,0.027433050570511222,180.20441598886327,10.234244089177459,77.40399269062321,246.96384857050316,0.011495800829627605,11863.28843273087
