Pixel Number,LCII_LCO,e_LCII_LCO
0,154.0124329451092,16.017818149387928
1,154.07080720287814,18.076971546829633
2,162.61264643556376,24.475453529337162
3,535.083580326667,77.06590750919551
4,,
5,,
6,125.3995682234304,11.38444674581323
