Velocity_kms,Intensity_K
-184.99999999998664,0.024277203081384258
-174.99999999998664,-0.006127517286092843
-164.99999999998664,0.00815385116188505
-154.99999999998664,0.032201306722711376
-144.99999999998664,-0.012152844384064387
-134.99999999998664,-0.027334390758097626
-124.99999999998664,-0.06818006087131456
-114.99999999998664,0.02561965511998343
-104.99999999998664,0.01914524493082892
-94.99999999998664,-0.015478875699985295
-84.99999999998664,0.012006959324315059
-74.99999999998664,-0.006823271103446604
-64.99999999998664,-0.005831945713329567
-54.99999999998664,-0.032203119984427264
-44.99999999998664,-0.03666578648461449
-34.99999999998664,-0.01673853674830772
-24.999999999986642,0.003048045679286293
-14.999999999986642,0.04680254241723514
-4.999999999986642,0.01341146591824316
5.000000000013358,0.025384435857888743
15.000000000013358,0.01792009302424802
25.000000000013358,-0.011227751786168305
35.00000000001336,-0.015084419187433085
45.00000000001336,0.028704896191286355
55.00000000001336,0.03098853477729291
65.00000000001336,0.020298593062665127
75.00000000001336,0.034876152081464884
85.00000000001336,-0.012784996150943417
95.00000000001336,0.07164525573326141
105.00000000001336,0.011647166703018907
115.00000000001336,0.018097435967905806
125.00000000001336,0.04036387936593844
135.00000000001336,0.08284973958372133
145.00000000001336,0.029181679445571707
155.00000000001336,-0.014359262962317487
165.00000000001336,0.0534734844898499
175.00000000001336,0.020680360115025387
185.00000000001336,0.028774533472827546
195.00000000001336,0.08368863670202042
205.00000000001336,0.07528357156951593
215.00000000001336,0.055406924924461975
225.00000000001336,0.13086062171898094
235.00000000001336,0.042092740942333506
245.00000000001336,0.08528023545902252
255.00000000001336,0.04080429648430739
265.00000000001336,0.018176977218377813
275.00000000001336,0.04979725502253331
285.00000000001336,-0.00046291130650515273
295.00000000001336,0.030298197192947476
305.00000000001336,-0.02348283009081198
315.00000000001336,0.01636284865947199
325.00000000001336,-0.019991990541911794
335.00000000001336,0.015972879882842482
345.00000000001336,-0.045673291477207154
355.00000000001336,0.07753626025261448
365.00000000001336,-0.0244286591236561
375.00000000001336,-0.05744756304018778
385.00000000001336,-0.06405273656912595
395.00000000001336,0.005525275907977236
405.00000000001336,0.02146385690711987
415.00000000001336,-0.01771608943163068
425.00000000001336,0.011230116761344718
435.00000000001336,-0.024715100475062684
445.00000000001336,-0.04785139089430037
455.00000000001336,0.027333815492498203
465.00000000001336,0.026793894436281756
475.00000000001336,-0.002494153434304293
485.00000000001336,0.010955126874013496
495.00000000001336,-0.033092310694950305
505.00000000001336,-0.094391843142439
515.0000000000134,-0.003392783865213911
525.0000000000134,0.022630977745750958
535.0000000000134,-0.0004547095822347025
545.0000000000134,-0.06642535612599154
555.0000000000134,-0.03518591687710737
565.0000000000134,-0.026906044101862037
575.0000000000134,-0.023249313073378186
585.0000000000134,-0.018828893190658835
595.0000000000134,-0.00812750001195539
605.0000000000134,-0.08616737069339875
